amplitude;eventtype;luminance;participant;erpcomponent;electrodes;time_window
27.6043501840188;target;isolum__to_bckgrd;39;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
19.9009839085181;distractor;isolum__to_bckgrd;39;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
12.9337485633217;target;isolum__to_bckgrd;40;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
10.7085001996109;distractor;isolum__to_bckgrd;40;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
19.0866444019171;target;isolum__to_bckgrd;41;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
15.2200475585862;distractor;isolum__to_bckgrd;41;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
18.6840906005639;target;isolum__to_bckgrd;43;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
15.7219319045544;distractor;isolum__to_bckgrd;43;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
14.4513663554278;target;isolum__to_bckgrd;44;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
11.6233839663137;distractor;isolum__to_bckgrd;44;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
11.4997272808821;target;isolum__to_bckgrd;45;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
4.9259958569735;distractor;isolum__to_bckgrd;45;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
9.09712474787697;target;isolum__to_bckgrd;46;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
10.5468214946584;distractor;isolum__to_bckgrd;46;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
14.801364493413;target;isolum__to_bckgrd;47;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
9.76907201612798;distractor;isolum__to_bckgrd;47;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
15.8658838059905;target;isolum__to_bckgrd;48;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
9.95564715433508;distractor;isolum__to_bckgrd;48;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
14.3304484656278;target;isolum__to_bckgrd;49;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
6.34325889370834;distractor;isolum__to_bckgrd;49;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
19.6496923829501;target;isolum__to_bckgrd;50;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
17.2330054124961;distractor;isolum__to_bckgrd;50;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
6.74880647111254;target;isolum__to_bckgrd;51;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
8.53533087734384;distractor;isolum__to_bckgrd;51;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
29.1774423334461;target;isolum__to_bckgrd;52;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
24.799523340968;distractor;isolum__to_bckgrd;52;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
