amplitude_induced;amplitude_evoked;modulation_induced;modulation_evoked;subjects;condition;time;RDK_id;RDK_position1;RDK_position2;RDK_freq;RDK_color;RDK_colorlum;RDK_ispresented;RDK_isattended;RDK_isattended2;RDK_electrodes
4.45709946950277;0.400875369956096;-7.05353594473709;-21.4964353338657;1;3;[0.5 1.5] ;RDK4;right;peri;17;blue;offset_to_bckgrd;not presented;not attended;not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.51572496891022;0.410105816523234;-1.11437900263351;16.9323183426702;1;3;[0.5 1.5] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
2.91166069507599;1.64571261405945;9.58168340192558;11.6761817703712;1;4;[0.5 1.5] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz'}
4.81086821556091;4.08382761478424;2.53860942596809;3.69026630786666;1;4;[0.5 1.5] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz'}
3.71185959974925;0.307520829389493;-5.91704520671214;-21.10527664269;1;4;[0.5 1.5] ;RDK3;right;peri;20;green;offset_to_bckgrd;not presented;not attended;not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
4.50414555867513;1.2688388645649;-11.3174792798238;-14.1882788534869;1;4;[0.5 1.5] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;attended;attended + irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.37812365690867;0.727805949250857;-5.53938398937102;31.947946941741;1;4;[0.5 1.5] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
2.63643345832825;1.6716234087944;-0.866201247161613;27.2501817902715;1;5;[0.5 1.5] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz'}
3.62403748035431;2.59325907230377;-21.9313222703886;-31.2208300455307;1;5;[0.5 1.5] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz'}
3.54840176105499;0.23160361337165;-9.26800403554454;-31.8603003110239;1;5;[0.5 1.5] ;RDK3;right;peri;20;green;offset_to_bckgrd;not presented;attended;attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
4.54540189107259;1.20510051250458;-7.91162895697548;-21.1435653237654;1;5;[0.5 1.5] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;not attended;not attended + irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.27037986119588;0.533601979414622;-5.9177258098044;-32.2626614943014;1;5;[0.5 1.5] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
2.80297875404358;1.73679488897324;1.43143436854833;3.21099055405618;1;6;[0.5 1.5] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz'}
4.50000414848328;3.88029339313507;3.83828050047466;6.19256589992072;1;6;[0.5 1.5] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz'}
3.72860922813416;0.889652446657419;-8.78506596951355;30.3533944097398;1;6;[0.5 1.5] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;not attended;not attended + irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
4.25681218306224;0.900352823734283;-6.6030255817326;45.9617475564295;1;6;[0.5 1.5] ;RDK4;right;peri;17;blue;offset_to_bckgrd;not presented;attended;attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.54613670508067;0.447273228565852;-0.491168669142261;31.4125626015668;1;6;[0.5 1.5] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
2.90017602443695;1.69136924743652;4.22881135076136;15.459715045102;1;1;[1 2] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz'}
4.1881715297699;3.27326331138611;-6.92591287735004;-12.0353881543676;1;1;[1 2] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz'}
4.00822592576345;0.591468318241338;1.11883138994735;-25.5628344304443;1;1;[1 2] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;attended;attended + not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
4.75132033824921;1.28497096101443;-2.53892131775624;1.47931386918665;1;1;[1 2] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;not attended;not attended + attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.53824772834778;0.264984407275915;3.16927330475059;-54.1604937117349;1;1;[1 2] ;RDK5;right;peri;23;redish;offset_to_bckgrd;not presented;irrelevant;irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
2.80432419776916;1.63420387506485;1.71145066692224;19.4254803851534;1;2;[1 2] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz'}
4.43342311382294;3.62799162864685;2.32045841327908;4.12901890055757;1;2;[1 2] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz'}
3.86734585762024;0.849416441718737;-10.6588217445797;100.478657266176;1;2;[1 2] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;not attended;not attended + attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
4.86959680716197;1.23220348954201;-0.490668730852828;15.7601907203902;1;2;[1 2] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;attended;attended + not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.41003591219584;0.687323544919491;-1.77359714963515;80.4724875952584;1;2;[1 2] ;RDK5;right;peri;23;redish;offset_to_bckgrd;not presented;irrelevant;irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
2.69737920761108;1.41206620335579;1.09743376546803;0.58191276116788;1;3;[1 2] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz'}
3.81274690628052;3.06058878898621;-13.8709135449345;-12.8828978013149;1;3;[1 2] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz'}
3.88456382751465;0.823224679629008;-1.76168628522058;36.6750779235132;1;3;[1 2] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;attended;attended + irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
4.64517873128255;0.527268405755361;-3.13141070069235;3.25515731275494;1;3;[1 2] ;RDK4;right;peri;17;blue;offset_to_bckgrd;not presented;not attended;not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.24783920447032;0.435097412889202;-8.64911235272405;24.0581019439164;1;3;[1 2] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
2.79209594726562;1.55382788777351;5.0818093737657;5.44098899918781;1;4;[1 2] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz'}
4.80790123939514;3.94552810192108;2.47537144134522;0.178777902451488;1;4;[1 2] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz'}
3.78233427206675;0.335481612322231;-4.13075312546867;-13.9319146342966;1;4;[1 2] ;RDK3;right;peri;20;green;offset_to_bckgrd;not presented;not attended;not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
4.81064581871033;1.02288523813089;-5.28276852120745;-30.8221514404259;1;4;[1 2] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;attended;attended + irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.51870008309682;0.6974883466959;-1.6085226109995;26.4515018832197;1;4;[1 2] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
2.86926424503326;1.64033776521683;7.88858081637509;24.8686024155585;1;5;[1 2] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz'}
3.75917253494263;2.79141573905945;-19.0202555157485;-25.9652614037551;1;5;[1 2] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz'}
3.93367938995361;0.389973270396392;0.583475764203767;14.7333633732964;1;5;[1 2] ;RDK3;right;peri;20;green;offset_to_bckgrd;not presented;attended;attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
4.94662240346273;1.54898420572281;0.216968755720215;1.35865893811562;1;5;[1 2] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;not attended;not attended + irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.47939387162526;0.503946630656719;0.0951883694123135;-36.0272172396199;1;5;[1 2] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
2.82152237892151;1.80830968618393;2.10247280116125;7.46083784820137;1;6;[1 2] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz'}
4.52701597213745;3.7363538980484;4.46158244173553;2.25335234853439;1;6;[1 2] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz'}
3.86181910037994;0.954837876061598;-5.52628260937325;39.9044747454557;1;6;[1 2] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;not attended;not attended + irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
4.34774940808614;0.882647355397542;-4.60780913478188;43.0914049178435;1;6;[1 2] ;RDK4;right;peri;17;blue;offset_to_bckgrd;not presented;attended;attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.41476647059123;0.449032104822497;-4.17757435310127;31.9293349488094;1;6;[1 2] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
6.73562741279602;1.74861819148064;0;0;2;1;[-1 0] ;RDK1;center;center;26;green;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz'}
7.66457476615906;1.81018869876862;0;0;2;1;[-1 0] ;RDK2;center;center;29;blue;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz'}
5.53162384033203;0.861499390999476;0;0;2;1;[-1 0] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;attended;attended + not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
5.55884620348612;0.939462044835091;0;0;2;1;[-1 0] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;not attended;not attended + attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
6.12596680323283;1.22889246145884;0;0;2;1;[-1 0] ;RDK5;right;peri;23;redish;offset_to_bckgrd;not presented;irrelevant;irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
8.66506924629211;2.16303089857101;0;0;2;2;[-1 0] ;RDK1;center;center;26;green;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz'}
7.37434659004211;1.15689782500267;0;0;2;2;[-1 0] ;RDK2;center;center;29;blue;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz'}
5.55339340368907;0.598068445920944;0;0;2;2;[-1 0] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;not attended;not attended + attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
5.99625376065572;1.04040970206261;0;0;2;2;[-1 0] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;attended;attended + not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
5.71376616160075;0.773110725482305;0;0;2;2;[-1 0] ;RDK5;right;peri;23;redish;offset_to_bckgrd;not presented;irrelevant;irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
8.420654296875;2.37738610506058;0;0;2;3;[-1 0] ;RDK1;center;center;26;green;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz'}
