amplitude_induced;amplitude_evoked;modulation_induced;modulation_evoked;subjects;condition;time;RDK_id;RDK_position1;RDK_position2;RDK_freq;RDK_color;RDK_ispresented;RDK_isattended;RDK_isattended2;RDK_electrodes
4.052119363438;0.525282241133126;-16.164695708137;36.5315497690429;22;4;[0.5 1.5] ;RDK3;left;peri;17;blue;not presented;not attended;not attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.5549794847315;0.933451448245482;-8.01820399493617;8.06561654930771;22;4;[0.5 1.5] ;RDK4;left;peri;20;redish;presented;attended;attended + irrelevant;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
5.17701154188676;1.29067143635316;-17.4601517067595;6.71226678584929;22;4;[0.5 1.5] ;RDK5;left;peri;14;green;presented;irrelevant;irrelevant + attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.44861464500427;2.15073619365692;12.3114633697555;53.5584711682723;22;5;[0.5 1.5] ;RDK1;center;center;26;blue;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
4.42659742355347;2.93402261137962;-14.4035507429019;-22.7262648516315;22;5;[0.5 1.5] ;RDK2;center;center;23;redish;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
3.87171095067804;0.484802443466403;-12.2622083698824;51.1216393049554;22;5;[0.5 1.5] ;RDK3;left;peri;17;blue;not presented;attended;attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.62486798546531;1.20140548727729;-4.87624453866119;72.8203393127853;22;5;[0.5 1.5] ;RDK4;left;peri;20;redish;presented;not attended;not attended + irrelevant;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
5.44261384010315;1.43917505768212;-13.7065573825882;14.9528973848194;22;5;[0.5 1.5] ;RDK5;left;peri;14;green;presented;irrelevant;irrelevant + not attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
2.92760776519775;1.15608103752136;-5.85394553327598;-19.206818722079;22;6;[0.5 1.5] ;RDK1;center;center;26;blue;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
5.62735001564026;4.31017216682434;10.5323259994927;18.6077389742403;22;6;[0.5 1.5] ;RDK2;center;center;23;redish;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
